subject,body,urls,label
Reset Your Password Immediately,"Your payment could not be processed; update your billing information to avoid service interruption. Your payment could not be processed; update your billing information to avoid service interruption. Your payment could not be processed; update your billing information to avoid service interruption. Claim your reward now by providing your details; limited slots are available and verification is required. We detected unusual activity and require you to verify your recent transactions via the secure portal. To receive your package or prize, provide confirmation with valid personal details on the linked form. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9426",1,1
Lunch Invitation,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please see the attached document and review the proposed changes before the end of the week. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Monthly Newsletter,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please see the attached document and review the proposed changes before the end of the week. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Claim Your Gift Card,Click the link below to immediately secure your account and confirm your identity within 24 hours. Claim your reward now by providing your details; limited slots are available and verification is required. Click the link below to immediately secure your account and confirm your identity within 24 hours. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$491 at Online Store. http://malicious.example/1549 http://malicious.example/5504,2,1
Verify Billing Information,Security alert: please reset your credentials immediately to prevent data exposure. We detected unusual activity and require you to verify your recent transactions via the secure portal. You have been specially selected for an exclusive offer; click to finalize your acceptance. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3707 http://malicious.example/9055 http://malicious.example/8867,3,1
Reset Your Password Immediately,Failure to respond within the specified timeframe may result in temporary suspension of your account. We detected unusual activity and require you to verify your recent transactions via the secure portal. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$273 at Unknown Merchant. http://malicious.example/4407 http://malicious.example/7402 http://malicious.example/2649,3,1
Finalize Your Payment Details,"Security alert: please reset your credentials immediately to prevent data exposure. Your payment could not be processed; update your billing information to avoid service interruption. An important document requires your confirmation; access it through the link provided to avoid penalties. Claim your reward now by providing your details; limited slots are available and verification is required. To receive your package or prize, provide confirmation with valid personal details on the linked form. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7396",1,1
Holiday Schedule,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing.",1,0
Office Maintenance Notice,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits.",0,0
Urgent: Update Your Password,"To receive your package or prize, provide confirmation with valid personal details on the linked form. Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$156 at Online Store. http://malicious.example/3619",1,1
Finalize Your Payment Details,Click the link below to immediately secure your account and confirm your identity within 24 hours. Claim your reward now by providing your details; limited slots are available and verification is required. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/1865,1,1
Team Meeting Tomorrow,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary.",0,0
Unauthorized Access Attempt Detected,Failure to respond within the specified timeframe may result in temporary suspension of your account. Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. Failure to respond within the specified timeframe may result in temporary suspension of your account. Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3448 http://malicious.example/4585,2,1
Payment Failed,Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. You have been specially selected for an exclusive offer; click to finalize your acceptance. Failure to respond within the specified timeframe may result in temporary suspension of your account. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3593 http://malicious.example/8693,2,1
Performance Summary,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please see the attached document and review the proposed changes before the end of the week. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please see the attached document and review the proposed changes before the end of the week.",0,0
Security Alert: Account Compromised,"To receive your package or prize, provide confirmation with valid personal details on the linked form. Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. Claim your reward now by providing your details; limited slots are available and verification is required. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8180",1,1
Lunch Invitation,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Project Milestones Update,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Project Update,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Client Call Reminder,"Please see the attached document and review the proposed changes before the end of the week. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please see the attached document and review the proposed changes before the end of the week. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Confirm Your Email,Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$360 at Unknown Merchant. http://malicious.example/7808 http://malicious.example/1121,2,1
Urgent: Update Your Password,Unauthorized login attempts were detected; verify your identity to prevent further access. Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. Unauthorized login attempts were detected; verify your identity to prevent further access. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$327 at Subscription Service. http://malicious.example/9377,1,1
Verify Your Identity Now,"Failure to respond within the specified timeframe may result in temporary suspension of your account. Claim your reward now by providing your details; limited slots are available and verification is required. To receive your package or prize, provide confirmation with valid personal details on the linked form. You have been specially selected for an exclusive offer; click to finalize your acceptance. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$429 at Subscription Service. http://malicious.example/2401 http://malicious.example/5094 http://malicious.example/9893",3,1
Claim Your Gift Card,"Security alert: please reset your credentials immediately to prevent data exposure. Security alert: please reset your credentials immediately to prevent data exposure. To receive your package or prize, provide confirmation with valid personal details on the linked form. An important document requires your confirmation; access it through the link provided to avoid penalties. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4160 http://malicious.example/9008",2,1
Unusual Login Detected,Failure to respond within the specified timeframe may result in temporary suspension of your account. We detected unusual activity and require you to verify your recent transactions via the secure portal. You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$102 at Subscription Service. http://malicious.example/2738,1,1
Client Call Reminder,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Unusual Login Detected,"Click the link below to immediately secure your account and confirm your identity within 24 hours. To receive your package or prize, provide confirmation with valid personal details on the linked form. We detected unusual activity and require you to verify your recent transactions via the secure portal. Click the link below to immediately secure your account and confirm your identity within 24 hours. To receive your package or prize, provide confirmation with valid personal details on the linked form. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8259",1,1
Holiday Schedule,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. This message contains important information about the upcoming schedule and deliverables for our project. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Weekly Report,"This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary.",0,0
Verify Your Identity Now,Claim your reward now by providing your details; limited slots are available and verification is required. An important document requires your confirmation; access it through the link provided to avoid penalties. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7169,1,1
Exclusive Offer: Limited Time Reward,Click the link below to immediately secure your account and confirm your identity within 24 hours. Security alert: please reset your credentials immediately to prevent data exposure. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9940,1,1
Policy Update Notification,"Please see the attached document and review the proposed changes before the end of the week. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Security Alert: Account Compromised,Security alert: please reset your credentials immediately to prevent data exposure. We detected unusual activity and require you to verify your recent transactions via the secure portal. Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/5819,1,1
